name	lambda	mu1	mu2	sigma1	sigma2	sigma3	sigma4
alpha	0.37705269471399416	297.6936211432249	-40.37919504490443	21.770412904387342	-9.323968152532524	-9.323968152532524	46.7478873870162
beta	0.2775131031201754	237.1488089610076	135.85201455438505	432.4649142693613	-233.0010998748022	-233.0010998748022	443.4899361583806
delta	0.20402548119859618	273.0324249206151	-14.072563906715766	398.8061229838055	-204.0435481888531	-204.0435481888531	492.37729079358917
"delta~""'"""	0.049700043564767274	77.15981436646807	15.085513604921964	327.0890825038216	-325.4059678122035	-325.4059678122035	553.9390463592226
P[II]	0.07159600516290214	287.28195593564993	140.94685971016065	185.77304442514537	-34.90678187981071	-34.90678187981071	176.24782924158836
"P[II]~""'"""	0.020112672239564845	136.67249193201914	198.0358107231887	4883.190826414751	-489.39471212327726	-489.39471212327726	705.374832228594
