name	lambda	mu1	mu2	sigma1	sigma2	sigma3	sigma4
alpha	0.3647574894801666	297.61576315933524	-40.58567040455446	21.60327526214181	-8.526550657622467	-8.526550657622467	43.102062848602984
beta	0.24401588205844646	233.28573477229165	137.35381309008005	379.2693676120664	-242.4631534829163	-242.4631534829163	472.90244261585514
delta	0.20257930337817134	274.2675708989392	-14.768732963735703	394.2772687945463	-189.41815948538473	-189.41815948538473	464.2947059927305
"delta~""'"""	0.051545648935406585	75.58293609636182	15.905626191703469	309.5576733062913	-307.8326184481008	-307.8326184481008	552.1217107954874
P[II]	0.11137751721755791	278.84201860815205	138.15497776074636	330.9390752766129	20.116695134288957	20.116695134288957	212.34719109396855
"P[II]~""'"""	0.025724158930251078	153.65336784343813	190.43636665745018	5737.390402395822	-871.3772009029135	-871.3772009029135	1257.3662909490629
